Year;CP;Estimation_method;Estimation_method_detailed;Road;RoadCategory;Easting;Northing;Longitute;Latitude;StartJunction;EndJunction;LinkLength_miles;LinkLength_kilometres;Motorcycles;CarsTaxis;BusesCoaches;LightGoodsVehicles;AllHGVs;AllMotorVehicles;;MotorcycleCO2PerKilometer;CarsTaxisCO2PerKilometer;BusesCoachesCO2PerKilometer;LightGoodsVehiclesCO2PerKilometer;AllHGVsCO2PerKilometer;TotalEmissionsPerSection;;Rank;
2001;1042;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393250;805600;;;A93;A978;0.19;;10.55;965.22;52.53;165.47;27.96;1221.73;;;;;;;;;;
2001;1178;Estimated;Estimated using previous year's AADF on this link;A90;TU;391560;808000;;;A9011;A9012;0.87;;113.99;9889.18;143.84;1050.99;893.19;12091.19;;;;;;;;;;
2001;1213;Estimated;Estimated using previous year's AADF on this link;A96;TR;384900;811400;;;B979;B979;1.55;;75.41;7853.53;77.11;1164.05;688.91;9859.02;;;;;;;;;;
2001;10775;Estimated;Estimated using previous year's AADF on this link;A956;PU;394600;810000;;;B997 Balgownie Road;A90;0.75;;91.99;6394.14;214.19;831.99;559.29;8091.61;;;;;;;;;;
2001;10859;Estimated;Estimated using previous year's AADF on this link;A93;PR;387200;802070;;;B979;Old Ferry Rd;1.74;;59.06;8548.29;149.23;684.57;190.51;9631.67;;;;;;;;;;
2001;10989;Estimated;Estimated using previous year's AADF on this link;A90;TU;392900;803560;;;B9077 Leggart Terrace;A9013;0.19;;16.67;2049.98;3.4;246.85;18.51;2335.41;;;;;;;;;;
2001;10990;Estimated;Estimated using previous year's AADF on this link;A947;PU;389010;811700;;;Riverview Drive;A96;3.04;;165.59;20082.71;361.18;1835.9;1159.11;23604.49;;;;;;;;;;
2001;20853;Estimated;Estimated using previous year's AADF on this link;A9013;PU;394400;806330;;;B986;A96/A956;0.43;;48.58;1470.76;295.45;316.57;54.61;2185.97;;;;;;;;;;
2001;20854;Counted;Manual count;A90;TR;392900;803000;;;A956;Cairngorm Rd;1.74;;142.25;16128.15;65.41;1477.11;778.56;18591.47;;;;;;;;;;
2001;20868;Counted;Manual count;A96;PU;392000;809050;;;A90;A978;1.24;;117.48;6240.19;165.11;871.82;499.41;7894.02;;;;;;;;;;
